id,name,sugar
342,White Chocolate Mocha (Without Whipped Cream) made with 2% Milk,58
343,White Chocolate Mocha (Without Whipped Cream) made with Soymilk,51
344,White Chocolate Mocha (Without Whipped Cream) made with Venti Nonfat Milk,74
345,White Chocolate Mocha (Without Whipped Cream) made with 2% Milk,74
346,White Chocolate Mocha (Without Whipped Cream) made with Soymilk,64
347,Hot Chocolate (Without Whipped Cream) made with Short Nonfat Milk,23
348,Hot Chocolate (Without Whipped Cream) made with 2% Milk,22
349,Hot Chocolate (Without Whipped Cream) made with Soymilk,18
350,Hot Chocolate (Without Whipped Cream) made with Tall Nonfat Milk,32
351,Hot Chocolate (Without Whipped Cream) made with 2% Milk,32
352,Hot Chocolate (Without Whipped Cream) made with Soymilk,25
353,Hot Chocolate (Without Whipped Cream) made with Grande Nonfat Milk,41
354,Hot Chocolate (Without Whipped Cream) made with 2% Milk,41
355,Hot Chocolate (Without Whipped Cream) made with Soymilk,32
356,Hot Chocolate (Without Whipped Cream) made with Venti Nonfat Milk,55
357,Hot Chocolate (Without Whipped Cream) made with 2% Milk,54
358,Hot Chocolate (Without Whipped Cream) made with Soymilk,44
359,Caramel Apple Spice (Without Whipped Cream) made with Short,33
360,Caramel Apple Spice (Without Whipped Cream) made with Tall,49
361,Caramel Apple Spice (Without Whipped Cream) made with Grande,65
362,Caramel Apple Spice (Without Whipped Cream) made with Venti,83
363,Tazo® Tea made with Short,0
364,Tazo® Tea made with Tall,0
365,Tazo® Tea made with Grande,0
366,Tazo® Tea made with Venti,0
367,Tazo® Chai Tea Latte made with Short Nonfat Milk,21
368,Tazo® Chai Tea Latte made with 2% Milk,21
369,Tazo® Chai Tea Latte made with Soymilk,18
370,Tazo® Chai Tea Latte made with Tall Nonfat Milk,32
371,Tazo® Chai Tea Latte made with 2% Milk,32
372,Tazo® Chai Tea Latte made with Soymilk,28
373,Tazo® Chai Tea Latte made with Grande Nonfat Milk,43
374,Tazo® Chai Tea Latte made with 2% Milk,42
375,Tazo® Chai Tea Latte made with Soymilk,37
376,Tazo® Chai Tea Latte made with Venti Nonfat Milk,54
377,Tazo® Chai Tea Latte made with 2% Milk,53
378,Tazo® Chai Tea Latte made with Soymilk,46
379,Tazo® Green Tea Latte made with Short Nonfat Milk,25
380,Tazo® Green Tea Latte made with 2% Milk,25
381,Tazo® Green Tea Latte made with Soymilk,20
382,Tazo® Green Tea Latte made with Tall Nonfat Milk,41
383,Tazo® Green Tea Latte made with 2% Milk,40
384,Tazo® Green Tea Latte made with Soymilk,33
385,Tazo® Green Tea Latte made with Grande Nonfat Milk,56
386,Tazo® Green Tea Latte made with 2% Milk,55
387,Tazo® Green Tea Latte made with Soymilk,46
388,Tazo® Green Tea Latte made with Venti Nonfat Milk,71
389,Tazo® Green Tea Latte made with 2% Milk,71
390,Tazo® Green Tea Latte made with Soymilk,58
391,Tazo® Full-Leaf Tea Latte made with Short Nonfat Milk,16
392,Tazo® Full-Leaf Tea Latte made with 2% Milk,15
393,Tazo® Full-Leaf Tea Latte made with Soymilk,13
394,Tazo® Full-Leaf Tea Latte made with Tall Nonfat Milk,23
395,Tazo® Full-Leaf Tea Latte made with 2% Milk,23
396,Tazo® Full-Leaf Tea Latte made with Soymilk,19
397,Tazo® Full-Leaf Tea Latte made with Grande Nonfat Milk,31
398,Tazo® Full-Leaf Tea Latte made with 2% Milk,30
399,Tazo® Full-Leaf Tea Latte made with Soymilk,25
400,Tazo® Full-Leaf Tea Latte made with Venti Nonfat Milk,39
401,Tazo® Full-Leaf Tea Latte made with 2% Milk,38
402,Tazo® Full-Leaf Tea Latte made with Soymilk,32
403,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos) made with Short Nonfat Milk,16
404,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos) made with 2% Milk,15
405,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos) made with Soymilk,13
406,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos) made with Tall Nonfat Milk,23
407,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos) made with 2% Milk,23
408,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos) made with Soymilk,19
409,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos) made with Grande Nonfat Milk,31
410,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos) made with 2% Milk,30
411,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos) made with Soymilk,25
412,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos) made with Venti Nonfat Milk,39
413,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos) made with 2% Milk,38
